Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.79112243652344,152.8957614430933,150.61274704618017,151.04081043121997,22622100
2020-01-03,150.8885955810547,152.1537709346399,150.3558932248189,150.6032296866788,21116200
2020-01-06,151.2786407470703,151.34523581046366,148.8814652208115,149.4236895425469,20813700
2020-01-07,149.89926147460938,151.88738753054335,149.65193958027442,151.55445588605946,21634100
2020-01-08,152.28697204589844,152.96237197756489,150.25127940622974,151.18350868587726,27746500
2020-01-09,154.189453125,154.31312134782266,153.18112165750648,153.95163855191004,21385000
2020-01-10,153.47601318359375,155.2643834620675,153.32380836945768,154.88388594177735,20725900
2020-01-13,155.3214569091797,155.34999349749867,153.39991104375198,153.87554020246824,21626500
2020-01-14,154.22755432128906,155.62590555974256,153.83753482973594,155.42613487636908,23477400
2020-01-15,155.226318359375,155.94928393806296,154.64606474602718,154.6936160477414,21417900
2020-01-16,158.0706024169922,158.1371974704603,156.03491007528677,156.3393197224824,23865400
2020-01-17,158.9552764892578,159.30723743482343,157.36666226753334,159.25967161419416,34371700
2020-01-21,158.38453674316406,159.99216589497755,158.31794168241322,158.5557563021477,29517200
2020-01-22,157.62353515625,159.32629604947206,157.60450592147876,159.2406717505281,24138800
2020-01-23,158.59381103515625,158.66991345348552,157.21448917618713,158.0896452143955,19680800
2020-01-24,156.99569702148438,159.3643359204746,156.43445798806613,159.34530668619095,24918100
2020-01-27,154.37017822265625,155.41656803978125,152.39155944166862,153.29525182097765,32078100
2020-01-28,157.3952178955078,157.6805837973838,155.12171094857308,155.7970962697475,24899900
2020-01-29,159.84945678710938,160.52485664465172,157.61400823323692,159.65920800817042,34754500
2020-01-30,164.35841369628906,165.56651584401405,162.46540438725938,165.56651584401405,51597500
2020-01-31,161.93272399902344,163.99695312073845,161.3144118044504,163.81622620551641,36142700
2020-02-03,165.88043212890625,165.99457848362047,162.09441352698238,162.12295011566093,30107000
2020-02-04,171.34063720703125,171.83529557816806,167.71634547294607,168.50589158926363,36433300
2020-02-05,171.13140869140625,175.22182339174296,169.7140427303393,175.0601111787714,39186300
2020-02-06,174.67958068847656,174.86032210279942,171.28358131001283,172.1492299180586,27751400
2020-02-07,174.92694091796875,176.5821360841545,173.58566282718309,173.93763837447938,33529100
2020-02-10,179.50245666503906,179.6356322600572,174.3181013028354,174.63201831574622,35844300
2020-02-11,175.45005798339844,181.4049288609839,174.555872987377,181.3573630498034,53159900
2020-02-12,175.7069091796875,176.79134295122728,172.98631013669498,176.53449917203284,47062900
2020-02-13,174.7556915283203,177.15285230690492,173.95662342040714,174.15639407614833,35295800
2020-02-14,176.31573486328125,176.37280803989367,173.74732579532215,174.31808659154638,23149500
2020-02-18,178.10414123535156,178.55123393258535,176.45846794354335,176.56310696874817,27792200
2020-02-19,178.63824462890625,179.4967096593026,177.8656231906105,179.38225153650183,29997500
2020-02-20,175.91026306152344,178.60967945621059,172.74346616644436,178.32351951543436,36862400
2020-02-21,170.3492431640625,175.0326824659516,169.0710788397271,174.7179080479234,48572600
2020-02-24,163.00457763671875,166.49569679653965,155.69803151876323,160.02854926687735,68311100
2020-02-25,160.31471252441406,166.77231230559676,159.91407987736636,166.1618445618228,68073300
2020-02-26,162.31777954101562,165.26519300844907,160.44822871342618,161.87901364573722,56206100
2020-02-27,150.88104248046875,159.32267991051899,150.69027405563045,155.78387978247017,93174900
2020-02-28,154.53433227539062,156.15590045131265,144.9862311109964,145.37731588541052,97012700
2020-03-02,164.81692504882812,164.94093110160344,154.82050895152818,157.68207961162824,71030800
2020-03-03,156.91897583007812,166.9249388317412,154.7727980450986,165.78031359069203,71677000
2020-03-04,162.68026733398438,162.82334002083235,157.97774611203417,160.71532480954662,49814400
2020-03-05,158.59776306152344,162.9854953002358,158.04452440985344,158.38791341590039,47817300
2020-03-06,154.11463928222656,155.58357224645644,148.8016502950517,155.10664388012614,72821100
2020-03-09,143.66986083984375,150.47086231713158,143.07847446953875,144.03233096600232,70419300
2020-03-10,153.49461364746094,153.59953846338823,145.53945250980186,150.86197447696378,65354400
2020-03-11,146.54100036621094,150.4231893253635,144.1754254179257,149.87949860861463,56371600
2020-03-12,132.64329528808594,146.38837226502318,132.18544819947115,138.59536565886447,93226400
2020-03-13,151.50106811523438,154.43894862787204,134.23625525895997,140.69386947918466,92727400
2020-03-16,129.17124938964844,142.45847840490325,128.77063139409694,133.53991403832273,87905900
2020-03-17,139.80682373046875,140.69390373044425,128.77069154989812,133.53997642211658,81059800
2020-03-18,133.92147827148438,139.26308174950935,128.78973899188242,131.6322279550157,81593200
2020-03-19,136.1249237060547,143.2216067693411,132.58610822630564,136.18215279092536,85922700
2020-03-20,131.01219177246094,140.31229234048558,129.590940394683,139.26304440324083,84866200
2020-03-23,129.70542907714844,134.0836423608826,126.40509306902422,130.6879003068529,78975200
2020-03-24,141.4950714111328,142.69693993052886,134.75131344382464,137.11687351683517,82516700
2020-03-25,140.1405792236328,147.208658574295,137.77501944919143,142.03875868147307,75638200
2020-03-26,148.90652465820312,149.43114859432802,141.52367080953024,141.5522853374376,64568100
2020-03-27,142.79232788085938,147.74284588636053,142.3153995883016,144.74773679128555,57042300
2020-03-30,152.83644104003906,153.1893778840761,143.08802528988713,145.40590442813732,63420300
2020-03-31,150.43275451660156,157.17651417379767,149.3358105207715,152.04476019890492,77927200
2020-04-01,145.0911407470703,150.47089186122017,143.86067202910272,145.94007261341795,57969900
2020-04-02,148.09576416015625,148.3056137675821,143.42187284137225,144.85265768035055,49630700
2020-04-03,146.73175048828125,150.11794405145397,145.1674263747893,147.94315234622604,41243300
2020-04-06,157.64389038085938,158.8171299683736,150.3087305178328,152.9223029413877,67111700
2020-04-07,155.9459991455078,162.15559951060627,155.7266016785545,161.76451486571867,62769000
2020-04-08,157.5103759765625,158.9793090252371,155.95558475544172,158.02545223774203,48318200
2020-04-09,157.51992797851562,159.64702479147812,155.79344931722983,158.68363456159136,51385100
2020-04-13,157.87283325195312,157.93007688572814,154.81096108382366,156.76637042886347,41905300
2020-04-14,165.68490600585938,165.73260175183552,160.24792572263806,161.20178242336806,52874300
2020-04-15,163.9488983154297,165.5609185071201,161.43071714722825,163.30026817491645,40940800
2020-04-16,168.8707733154297,169.09970414895645,164.92180740395108,166.2572154341446,50479600
2020-04-17,170.3588104248047,171.69420396711413,167.7547711852542,171.21727562276104,52765600
2020-04-20,166.98214721679688,170.50188067672113,166.91538481798173,168.47970918298162,36669600
2020-04-21,160.07620239257812,165.65625410027482,158.44510139820838,165.49410024429338,56203700
2020-04-22,165.51319885253906,165.97104593843355,162.93778898167508,163.48147966716917,34620200
2020-04-23,163.5101318359375,166.98217002542322,163.02367010487293,166.07600897122853,32790800
2020-04-24,166.4956512451172,166.50518457021275,162.83284586053986,164.1205433737908,34277600
2020-04-27,166.01876831054688,168.73725128349537,165.30337575639746,168.44155802319875,33194400
2020-04-28,161.974365234375,167.56396474430508,161.57374726256776,167.48765447995686,34392700
2020-04-29,169.24278259277344,169.48124676114833,163.94888969860907,165.22705414797102,51286600
